timestamp,segment,track_id,entry,exit,movement_id
26.033,1,2,N,S,4
34.724,1,11,N,E,7
35.49,1,10,N,S,4
43.359,1,15,N,S,4
47.715,1,27,N,E,7
49.076,1,45,N,S,4
62.036,1,64,N,E,7
64.094,1,71,N,S,4
69.498,1,92,N,S,4
79.614,1,121,N,E,7
80.194,1,181,N,S,4
126.433,1,9,W,S,11
141.256,1,238,W,S,11
143.704,1,232,W,E,2
152.394,1,256,W,N,5
152.585,1,245,W,E,2
162.843,1,289,W,E,2
166.511,1,325,W,N,5
217.227,1,391,W,S,11
218.478,1,4,E,W,6
227.594,1,186,E,W,6
242.206,1,399,E,N,9
258.182,1,404,E,W,6
264.565,1,481,E,N,9
265.576,1,485,W,E,2
280.943,1,453,E,W,6
294.997,1,515,E,W,6
304.219,1,518,E,W,6
347.95,1,283,S,N,8
352.538,1,1,S,W,3
354.997,1,6,S,N,8
362.116,1,616,S,W,3
365.681,1,628,S,N,8
366.857,1,643,S,N,8
375.799,1,637,S,W,3
380.542,1,677,S,N,8
387.099,1,681,S,W,3
389.754,1,699,S,N,8
397.667,1,732,S,N,8
406.311,1,783,S,N,8
411.603,1,750,S,W,3
413.648,1,795,S,N,8
415.449,1,821,S,N,8
419.416,1,824,S,N,8
452.577,1,895,S,N,8
462.73,1,229,N,S,4
470.13,1,983,S,N,8
476.387,1,963,N,S,4
483.223,1,993,S,N,8
486.226,1,346,N,S,4
500.569,1,1065,S,N,8
505.277,1,1060,N,S,4
526.454,1,1107,N,S,4
537.716,1,1099,N,S,4
550.216,1,1145,N,S,4
559.789,1,1148,N,S,4
565.503,1,1149,N,S,4
584.685,1,1221,N,S,4
618.257,1,1274,N,S,4
632.596,1,1312,N,S,4
638.114,1,1307,N,S,4
638.281,1,1327,S,N,8
688.393,1,1383,E,S,1
703.164,1,571,E,W,6
713.718,1,631,E,W,6
741.765,1,925,E,W,6
753.623,1,1471,E,W,6
766.017,1,1531,W,E,2
766.614,1,1613,E,W,6
769.778,1,1577,W,E,2
776.81,1,1542,W,E,2
780.828,1,1644,E,W,6
781.665,1,1598,W,E,2
795.265,1,1525,W,E,2
806.69,1,1646,W,E,2
880.746,1,1563,S,N,8
887.77,1,1719,S,W,3
891.633,1,1741,S,N,8
895.364,1,1742,S,W,3
908.517,1,1810,S,N,8
908.895,1,1777,S,W,3
918.154,1,1881,S,N,8
927.665,1,1829,S,W,3
928.715,1,1907,S,N,8
930.541,1,1815,S,N,8
935.18,1,1882,S,W,3
943.672,1,1897,S,N,8
955.389,1,1931,S,W,3
956.034,1,1941,S,N,8
960.883,1,2047,S,N,8
963.882,1,1977,S,W,3
967.558,1,1989,S,N,8
967.774,1,1997,S,W,3
981.888,1,2048,S,W,3
986.065,1,2069,S,N,8
998.03,1,1334,N,S,4
1008.996,1,1889,N,S,4
1017.273,1,2168,N,S,4
1017.481,1,2251,S,N,8
1022.722,1,2225,N,S,4
1029.216,1,2191,N,S,4
1040.0,1,2250,N,S,4
1040.0,1,2271,S,N,8
1040.0,1,2253,N,S,4
1041.586,1,2283,S,N,8
1052.436,1,2306,S,N,8
1054.842,1,2267,N,S,4
1066.704,1,2308,N,S,4
1067.496,1,2296,N,S,4
1075.377,1,2320,N,S,4
1086.278,1,2317,N,S,4
1088.264,1,2341,N,S,4
1125.951,1,2424,N,S,4
1137.492,1,2440,N,S,4
1175.468,1,2506,N,E,7
1192.611,1,2511,N,E,7
1213.448,1,2535,N,E,7
1214.907,1,2546,N,S,4
1215.935,1,2538,N,S,4
1229.793,1,2557,N,S,4
1230.672,1,2561,N,S,4
1275.858,1,1919,W,E,2
1288.538,1,1801,W,N,5
1292.206,1,2514,W,E,2
1329.356,1,2747,W,E,2
1339.253,1,2772,W,E,2
1372.559,1,2689,E,W,6
1415.66,2,2851,E,W,6
1438.589,2,2875,E,W,6
1458.472,2,2907,E,N,9
1489.44,2,2923,E,W,6
1505.269,2,2929,E,N,9
1578.698,2,2963,S,N,8
1585.23,2,2840,S,N,8
1594.02,2,2530,S,W,3
1605.277,2,2982,S,N,8
1619.448,2,3014,S,N,8
1658.324,2,3121,S,N,8
1692.091,2,3149,S,N,8
1760.36,2,2814,N,S,4
1780.282,2,3241,S,N,8
1782.329,2,3020,N,S,4
1787.976,2,3192,N,S,4
1807.184,2,3270,S,N,8
1907.638,2,3293,N,S,4
2075.395,2,3463,S,N,8
2183.321,2,3187,E,S,1
2342.324,2,3741,E,W,6
2357.419,2,3709,W,E,2
2369.883,2,2941,E,W,6
2378.103,2,3722,W,E,2
2402.854,2,3802,W,E,2
2404.699,2,3861,E,W,6
2411.275,2,3810,W,E,2
2413.907,2,3552,E,N,9
2475.047,2,3843,W,S,11
2491.854,2,3949,W,E,2
2586.191,2,3195,S,W,3
2610.987,2,3510,S,N,8
2612.031,2,4115,S,W,3
2638.027,2,4132,S,N,8
2657.947,2,4173,S,N,8
2664.808,2,4169,S,N,8
2671.163,2,4178,S,N,8
2699.316,2,4255,S,N,8
2713.993,2,4308,S,N,8
2717.734,2,4267,S,N,8
2734.581,2,4358,S,N,8
2749.049,2,4356,S,N,8
2753.101,2,4148,N,S,4
2770.389,2,4381,S,N,8
2770.772,2,4126,N,S,4
2791.024,2,3965,N,S,4
2795.144,2,4433,S,N,8
2799.045,2,3669,N,S,4
2812.383,2,4532,S,E,10
2823.181,2,4412,N,S,4
2828.736,2,4424,N,S,4
2846.516,2,4468,N,S,4
2850.106,2,4575,S,E,10
2863.096,2,4492,N,S,4
2864.693,2,4538,N,S,4
2866.563,2,4561,S,N,8
2920.985,2,4594,N,S,4
3063.595,2,4672,N,E,7
3074.477,2,4710,N,S,4
3084.363,2,4701,N,E,7
3111.604,2,4713,N,E,7
3160.204,2,4760,S,E,10
3259.381,2,4817,W,N,5
3322.371,2,4812,S,E,10
3375.858,2,4936,E,W,6
3391.051,2,4307,E,N,9
3419.63,2,4349,E,W,6
3454.971,2,4671,E,W,6
3465.328,2,5046,W,E,2
3477.146,2,4987,W,E,2
3478.549,2,5137,E,W,6
3488.726,2,5097,W,E,2
3490.81,2,5011,W,S,11
3501.508,2,5122,E,W,6
3515.584,2,5096,W,E,2
3540.163,2,5164,E,W,6
3643.422,2,4991,S,N,8
3658.353,2,4933,S,N,8
3675.602,2,5258,S,N,8
3682.726,2,5309,S,E,10
3683.807,2,4996,S,W,3
3696.664,2,5259,S,N,8
3699.846,2,5257,S,W,3
3711.752,2,5367,S,E,10
3716.781,2,5290,S,W,3
3723.662,2,5310,S,N,8
3728.812,2,5349,S,N,8
3781.095,2,5453,S,N,8
3784.743,2,5426,S,N,8
3799.474,2,5460,S,N,8
3846.364,3,5563,S,N,8
3853.604,3,5515,N,S,4
3867.234,3,5518,N,S,4
3878.912,3,5626,S,N,8
3882.992,3,5611,N,S,4
3897.839,3,5674,S,N,8
3901.054,3,5592,N,S,4
3907.186,3,5551,N,S,4
3923.101,3,5651,N,S,4
3927.805,3,5649,N,S,4
3947.786,3,5723,N,S,4
3960.654,3,5733,N,S,4
4002.835,3,5777,N,S,4
4023.99,3,5811,N,S,4
4075.018,3,5829,N,E,7
4296.255,3,5966,E,S,1
4330.766,3,6039,W,N,5
4333.023,3,6057,E,S,1
4424.761,3,5356,W,E,2
4436.154,3,6159,W,E,2
4450.916,3,6192,E,W,6
4457.297,3,5922,W,S,11
4459.99,3,6091,E,N,9
4470.965,3,6240,W,E,2
4490.307,3,6234,E,W,6
4490.66,3,6308,W,S,11
4512.047,3,6298,W,E,2
4563.22,3,6339,W,E,2
4581.066,3,6410,W,S,11
4588.669,3,6391,W,E,2
4598.957,3,6406,W,S,11
4690.169,3,6447,S,E,10
4698.206,3,6112,S,N,8
4715.434,3,6442,S,N,8
4761.055,3,6502,S,N,8
4775.589,3,6537,S,N,8
4777.873,3,6526,S,N,8
4779.386,3,5625,S,W,3
4802.911,3,6508,S,W,3
4813.355,3,6609,S,N,8
4817.012,3,6640,S,N,8
4833.628,3,6660,S,N,8
4861.739,3,6695,S,N,8
4869.904,3,6668,S,W,3
4881.937,3,6740,S,N,8
4922.361,3,6764,S,N,8
4939.596,3,6796,S,N,8
4948.025,3,6521,N,S,4
4958.778,3,6826,S,N,8
4969.99,3,6834,S,N,8
5009.454,3,6886,N,S,4
5023.469,3,6892,S,N,8
5059.87,3,6940,S,N,8
5090.448,3,7036,N,S,4
5157.512,3,7188,S,N,8
5188.26,3,7259,S,N,8
5213.611,3,7349,N,S,4
5503.885,3,7566,E,W,6
5524.08,3,6777,W,E,2
5536.424,3,7676,W,S,11
5540.173,3,7709,E,W,6
5559.296,3,7776,E,W,6
5580.282,3,7822,W,S,11
5581.73,3,7753,E,N,9
5636.236,3,7733,E,W,6
5700.22,3,8022,E,W,6
5765.667,3,7968,S,N,8
5773.309,3,7905,S,N,8
5786.063,3,8161,S,N,8
5795.124,3,8099,S,N,8
5813.633,3,8141,S,W,3
5815.867,3,8189,S,N,8
5831.703,3,8196,S,N,8
5848.835,3,8245,S,N,8
5849.197,3,8187,S,W,3
5859.193,3,8272,S,N,8
5872.669,3,8320,S,N,8
5874.961,3,8222,S,W,3
5881.783,3,8324,S,N,8
5894.641,3,8348,S,N,8
5927.538,3,8364,S,N,8
5953.699,3,8399,S,N,8
5980.714,3,8460,S,N,8
6033.144,3,8198,N,S,4
6034.65,3,8547,S,N,8
6055.287,3,8549,S,N,8
6062.796,3,8496,N,S,4
6066.311,3,8556,N,S,4
6073.663,3,8584,S,N,8
6074.051,3,8579,S,N,8
6077.124,3,8561,N,S,4
6088.7,3,8562,N,S,4
6095.36,3,8603,S,N,8
6105.06,3,8610,N,S,4
6116.341,3,8634,N,S,4
6143.286,3,8662,N,S,4
6192.028,3,8740,N,S,4
6218.408,3,8778,N,S,4
6419.534,4,8919,E,W,6
6447.723,4,8931,E,W,6
6476.3,4,8344,E,W,6
6501.046,4,8935,E,W,6
6943.4,4,9368,E,W,6
6994.584,4,9416,E,W,6
7024.287,4,9423,E,W,6
7100.151,4,9060,N,S,4
7121.428,4,8960,N,S,4
7123.289,4,9013,N,S,4
7138.406,4,9345,N,S,4
7146.632,4,9595,N,S,4
7153.537,4,9344,N,S,4
7162.745,4,9603,N,S,4
7237.781,4,9696,N,S,4
7345.744,4,9872,N,S,4
7372.495,4,9881,N,S,4
7538.276,4,10077,E,W,6
7577.499,4,10095,E,W,6
7618.275,4,10216,W,S,11
7630.953,4,10221,W,E,2
7642.403,4,10208,W,E,2
7680.52,4,10295,W,E,2
7704.577,4,10217,W,E,2
7755.967,4,10366,W,S,11
7771.901,4,10365,W,E,2
7778.648,4,10398,W,E,2
7908.566,4,9039,S,N,8
7912.172,4,10631,S,W,3
7929.632,4,10685,S,N,8
7937.576,4,10690,S,N,8
7940.454,4,10632,S,W,3
7942.619,4,10708,S,N,8
7951.367,4,10765,S,W,3
7955.759,4,10772,S,N,8
7973.261,4,10795,S,N,8
7975.136,4,10769,S,W,3
7981.121,4,10804,S,N,8
7989.806,4,10810,S,N,8
7997.062,4,10814,S,W,3
8011.764,4,10848,S,N,8
8017.6,4,10832,S,N,8
8038.293,4,10849,S,W,3
8040.487,4,10887,S,N,8
8052.222,4,10935,S,N,8
8053.71,4,10894,S,W,3
8067.218,4,10968,S,N,8
8113.204,4,11068,S,N,8
8135.807,4,10802,N,S,4
8140.749,4,11104,S,N,8
8147.561,4,11165,S,E,10
8148.63,4,11111,S,N,8
8166.318,4,11042,N,S,4
8167.451,4,10451,N,S,4
8182.255,4,11141,N,S,4
8182.255,4,11183,S,N,8
8187.755,4,11024,N,S,4
8194.629,4,11154,N,S,4
8201.198,4,11213,S,N,8
8208.818,4,11142,N,S,4
8208.819,4,11212,S,N,8
8216.521,4,11199,N,S,4
8227.951,4,11237,S,N,8
8228.306,4,11235,S,N,8
8241.3,4,11233,N,S,4
8247.59,4,11284,S,N,8
8258.521,4,11228,N,S,4
8268.249,4,11293,N,S,4
8287.022,4,11346,N,S,4
8288.071,4,11347,N,S,4
8308.225,4,11379,N,E,7
8308.588,4,11426,N,S,4
8324.902,4,11432,N,S,4
8344.972,4,11430,N,S,4
8682.326,4,11883,W,E,2
8703.672,4,11959,W,S,11
8715.749,4,11878,W,E,2
8725.031,4,10748,W,E,2
8725.736,4,11922,E,W,6
8754.451,4,11968,E,W,6
8765.854,4,11097,W,E,2
8766.592,4,11569,W,E,2
8781.291,4,11874,W,E,2
8789.578,4,11772,E,W,6
8807.251,4,11088,W,E,2
8816.024,4,11743,E,W,6
8830.007,4,11912,W,E,2
8833.23,4,12096,E,W,6
8858.568,4,12072,W,E,2
8935.076,5,11348,S,N,8
8955.515,5,12199,S,W,3
8959.615,5,11388,S,N,8
8962.958,5,12206,S,N,8
8984.981,5,12217,S,N,8
8989.339,5,12224,S,N,8
9013.231,5,12252,S,N,8
9015.847,5,12227,S,W,3
9017.35,5,12254,S,N,8
9029.244,5,12269,S,N,8
9033.31,5,12285,S,N,8
9047.042,5,12272,S,W,3
9049.264,5,12305,S,N,8
9059.763,5,12320,S,N,8
9067.462,5,12328,S,N,8
9074.353,5,12324,S,W,3
9088.91,5,12353,S,N,8
9095.194,5,12386,S,N,8
9098.908,5,12345,S,W,3
9118.9,5,12412,S,N,8
9119.267,5,12417,S,N,8
9146.08,5,12442,S,N,8
9168.871,5,12450,N,S,4
9177.218,5,12463,S,N,8
9199.649,5,12512,N,W,12
9234.555,5,12489,N,S,4
9254.316,5,12511,N,S,4
9255.083,5,12545,S,N,8
9284.974,5,12551,N,S,4
9410.535,5,12689,N,E,7
9687.519,5,12596,W,E,2
9728.997,5,13062,E,W,6
9746.351,5,13105,E,N,9
9765.57,5,13113,W,E,2
9773.447,5,13074,E,W,6
9803.591,5,13120,E,W,6
9883.849,5,13154,E,S,1
9897.227,5,13214,E,W,6
9909.752,5,13262,E,N,9
9992.291,5,13292,S,N,8
9997.232,5,12643,S,N,8
10003.699,5,13326,S,E,10
10021.234,5,13284,S,N,8
10024.29,5,13291,S,N,8
10029.273,5,12692,S,W,3
10040.734,5,13331,S,N,8
10077.591,5,13419,S,E,10
10104.041,5,13418,S,N,8
10133.609,5,13461,S,N,8
10133.974,5,13487,S,N,8
10184.859,5,13569,S,N,8
10191.733,5,13379,N,S,4
10191.734,5,13634,S,N,8
10206.397,5,13655,S,N,8
10207.909,5,13167,N,S,4
10211.684,5,13648,S,N,8
10221.287,5,13668,S,N,8
10222.436,5,13615,N,S,4
10223.586,5,13248,N,S,4
10233.128,5,13671,S,N,8
10240.821,5,13641,N,S,4
10243.895,5,13616,N,S,4
10248.067,5,13685,S,N,8
10253.795,5,13703,S,N,8
10277.04,5,13765,N,S,4
10284.092,5,13779,S,N,8
10293.169,5,13750,N,S,4
10302.524,5,13793,S,N,8
10330.939,5,13821,S,N,8
10355.103,5,13840,S,N,8
10374.827,5,13850,S,N,8
10424.758,5,13868,S,N,8
10718.44,5,14096,W,E,2
10727.282,5,14035,W,S,11
